step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
470,2.521776,2.397703,0.329834,0.335569,0.000639,635.1,60160,0.9829,11629.9404,11.0907,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.7161,46.1345,0.00,0.00
480,2.500311,2.422879,0.329834,0.333457,0.000623,648.0,61440,0.9891,11251.9785,10.9109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.4598,47.5185,0.00,0.00
490,2.489881,2.387204,0.333984,0.338698,0.000606,660.8,62720,0.9861,11357.9648,10.9589,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.7797,47.0977,0.00,0.00
500,2.463576,2.391414,0.337769,0.341100,0.000589,674.1,64000,0.9902,11290.4697,10.9114,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.4370,47.1124,0.00,0.00
510,2.445543,2.377456,0.335327,0.338467,0.000571,691.1,65280,0.9907,11292.8760,10.8942,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.9207,46.2676,0.00,0.00
520,2.483403,2.364938,0.341064,0.346435,0.000554,704.1,66560,0.9845,10889.4443,10.6179,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.7259,47.6437,0.00,0.00
530,2.465932,2.345971,0.338867,0.344417,0.000537,716.7,67840,0.9839,11144.9326,10.8051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.1891,46.9057,0.00,0.00
540,2.469474,2.364159,0.334961,0.339856,0.000519,730.4,69120,0.9856,11074.7783,10.7523,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.0705,46.8432,0.00,0.00
550,2.416937,2.351598,0.343872,0.346921,0.000502,745.4,70400,0.9912,10975.3848,10.6776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.2268,47.2125,0.00,0.00
560,2.444785,2.347065,0.344116,0.348627,0.000484,758.0,71680,0.9871,11093.3262,10.7470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.5108,46.6847,0.00,0.00
