step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
550,2.475282,2.371903,0.340210,0.345182,0.000502,690.9,70400,0.9856,9191.4141,8.9704,0.4748,0.2984,0.6808,0.5074,0.3488,0.6419,19.6566,19.6566,100.6837,96.7359,47.9300,49.1307,44.0758,44.9902,43.4533,45.5136,63.00,575.00
560,2.407710,2.316778,0.359375,0.363996,0.000484,704.2,71680,0.9873,9261.7021,9.0285,0.4678,0.3000,0.6840,0.5111,0.3421,0.6503,19.7373,19.7373,98.5903,99.0998,46.3285,50.6407,44.0057,44.5801,43.8569,45.2825,63.00,575.00
570,2.428290,2.328807,0.343628,0.348477,0.000467,717.4,72960,0.9861,9320.8721,9.0625,0.4402,0.2991,0.6884,0.5167,0.3332,0.6477,20.6071,20.6071,96.6908,103.5418,42.7760,53.4886,44.1773,45.0725,44.3811,44.1551,63.00,575.00
580,2.366907,2.274328,0.364258,0.368942,0.000449,730.9,74240,0.9873,9280.7363,9.0348,0.4554,0.2984,0.6869,0.5012,0.3359,0.6155,20.1329,20.1329,98.8400,99.2704,45.1470,49.6964,44.2793,44.8382,44.1631,45.2056,63.00,575.00
590,2.385113,2.282698,0.359131,0.364334,0.000432,743.7,75520,0.9857,9336.5508,9.0656,0.4431,0.2986,0.6874,0.5194,0.3387,0.6394,20.6787,20.6787,97.2667,101.3038,43.1903,52.5910,44.7667,43.9905,44.3231,44.6734,63.00,575.00
600,2.414434,2.302167,0.358887,0.364493,0.000415,755.9,76800,0.9846,9354.7031,9.0848,0.4654,0.2998,0.6974,0.4947,0.3348,0.6202,20.0557,20.0557,97.7910,101.2683,45.6642,50.1154,44.3205,44.6465,44.0316,45.1125,63.00,575.00
610,2.383811,2.269272,0.355957,0.361652,0.000398,770.3,78080,0.9843,9368.9463,9.0997,0.4457,0.3061,0.6918,0.5135,0.3336,0.6466,20.9940,20.9940,97.2219,100.4632,43.4246,51.5774,43.9227,44.5837,44.4217,44.4923,63.00,575.00
620,2.389886,2.281558,0.357666,0.363028,0.000381,782.0,79360,0.9852,9302.8018,9.0475,0.4506,0.2981,0.6888,0.5268,0.3352,0.6411,20.5414,20.5414,99.0638,99.1040,44.7339,52.1412,44.6546,43.8136,44.2164,44.8873,63.00,575.00
630,2.371730,2.287892,0.357544,0.361739,0.000364,792.7,80640,0.9884,9270.4375,9.0223,0.4575,0.2934,0.6843,0.5204,0.3395,0.6475,20.2197,20.2197,99.1701,99.4452,45.4676,51.7438,44.6372,43.8847,44.0256,44.8764,63.00,575.00
640,2.324797,2.250215,0.363892,0.367571,0.000347,804.8,81920,0.9900,9338.9922,9.0597,0.4682,0.3040,0.7022,0.4965,0.3272,0.6379,20.4694,20.4694,96.4450,103.6309,45.2909,51.5558,43.6736,45.3658,44.3060,43.9451,63.00,575.00
650,2.413885,2.282535,0.357910,0.364450,0.000331,817.1,83200,0.9821,9361.2812,9.0732,0.4301,0.2990,0.6940,0.5207,0.3256,0.6299,21.3381,21.3381,96.4358,101.9554,41.5556,53.1163,44.3706,43.9648,44.7664,44.1836,63.00,575.00
660,2.388788,2.304856,0.359009,0.363176,0.000314,831.3,84480,0.9885,9332.6514,9.0591,0.4490,0.3108,0.6997,0.5122,0.3310,0.6400,20.8911,20.8911,98.6118,103.0479,44.4831,52.7572,43.8369,45.3751,44.1173,43.6741,63.00,575.00
670,2.339550,2.246953,0.369629,0.374197,0.000298,843.6,85760,0.9878,9288.9951,9.0344,0.4584,0.2969,0.6940,0.5086,0.3317,0.6417,20.4384,20.4384,99.7079,101.9831,45.8499,51.9691,43.8159,45.3078,44.0650,44.0650,63.00,575.00
680,2.361928,2.275237,0.363403,0.367712,0.000282,855.4,87040,0.9883,9256.9160,9.0110,0.4397,0.2918,0.6864,0.5254,0.3349,0.6526,20.8685,20.8685,100.0123,100.7353,44.1134,52.9191,43.8223,44.7483,44.2215,43.9839,63.00,575.00
690,2.337059,2.226196,0.368896,0.374473,0.000267,866.7,88320,0.9851,9235.2646,8.9922,0.4478,0.2926,0.6890,0.5204,0.3340,0.6511,20.7920,20.7920,100.4785,99.0007,45.1783,51.4642,43.7961,44.5389,43.9980,44.3484,63.00,575.00
700,2.318303,2.246627,0.370117,0.373721,0.000252,880.0,89600,0.9904,9165.9971,8.9371,0.4621,0.2934,0.6903,0.5104,0.3379,0.6565,20.2599,20.2599,102.2691,97.0662,47.4606,49.5936,44.0637,44.9789,43.7422,44.6042,63.00,575.00
710,2.393149,2.262049,0.362427,0.368866,0.000237,894.4,90880,0.9825,9152.3359,8.9284,0.4472,0.2926,0.6800,0.5301,0.3377,0.6603,20.8060,20.8060,102.3971,95.7408,45.8764,50.8101,43.7086,44.2857,43.8219,44.5812,63.00,575.00
720,2.345925,2.245090,0.364746,0.369619,0.000222,907.4,92160,0.9868,9142.0020,8.9177,0.4528,0.2836,0.6848,0.5236,0.3438,0.6650,20.7084,20.7084,102.0438,97.1987,46.3522,50.9104,43.7519,45.0454,43.9539,44.2766,63.00,575.00
730,2.364067,2.245764,0.372314,0.378177,0.000208,920.2,93440,0.9845,9183.1982,8.9406,0.4427,0.2961,0.6893,0.5360,0.3461,0.6574,21.0468,21.0468,99.2219,99.4968,44.0154,53.2857,43.7213,44.5927,44.3617,43.7567,63.00,575.00
740,2.291020,2.221268,0.372925,0.376371,0.000194,933.0,94720,0.9908,9221.0742,8.9666,0.4408,0.2615,0.6915,0.5235,0.3374,0.6577,20.9538,20.9538,98.5201,100.2066,43.5393,52.4240,44.0871,44.2197,44.3618,44.2190,63.00,575.00
