stage	task	act	rho	H	beta	T	dt	init_scale	seed	conv_free	conv_nudge	accuracy	mse	mean_settle	osc_ratio	spectral_w1	spectral_w2	output_mag	seg_crossings
2	XOR	c19_r4	4	10	0.10	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.560729	7.2	0.0000	0.2079	0.0866	0.0574	0.0
2	XOR	c19_r4	4	10	0.10	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.560662	7.0	0.0000	0.1965	0.0438	0.0574	0.0
2	XOR	c19_r4	4	10	0.10	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.560702	7.0	0.0000	0.1874	0.0851	0.0574	0.0
2	XOR	c19_r4	4	10	0.10	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.560729	7.2	0.0000	0.2079	0.0866	0.0574	0.0
2	XOR	c19_r4	4	10	0.10	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.560662	7.0	0.0000	0.1965	0.0438	0.0574	0.0
2	XOR	c19_r4	4	10	0.10	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.560702	7.0	0.0000	0.1874	0.0851	0.0574	0.0
2	XOR	c19_r4	4	10	0.10	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.560729	7.2	0.0000	0.2079	0.0866	0.0574	0.0
2	XOR	c19_r4	4	10	0.10	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.560662	7.0	0.0000	0.1965	0.0438	0.0574	0.0
2	XOR	c19_r4	4	10	0.10	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.560702	7.0	0.0000	0.1874	0.0851	0.0574	0.0
2	XOR	c19_r4	4	10	0.50	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.500004	8.8	0.0000	0.2163	0.1207	0.0001	0.0
2	XOR	c19_r4	4	10	0.50	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.500009	8.8	0.0000	0.2045	0.0694	0.0000	0.0
2	XOR	c19_r4	4	10	0.50	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.500002	8.8	0.0000	0.1890	0.1058	0.0000	0.0
2	XOR	c19_r4	4	10	0.50	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.500004	8.8	0.0000	0.2163	0.1207	0.0001	0.0
2	XOR	c19_r4	4	10	0.50	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.500009	8.8	0.0000	0.2045	0.0694	0.0000	0.0
2	XOR	c19_r4	4	10	0.50	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.500002	8.8	0.0000	0.1890	0.1058	0.0000	0.0
2	XOR	c19_r4	4	10	0.50	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.500004	8.8	0.0000	0.2163	0.1207	0.0001	0.0
