stage	task	act	rho	H	beta	T	dt	init_scale	seed	conv_free	conv_nudge	accuracy	mse	mean_settle	osc_ratio	spectral_w1	spectral_w2	output_mag	seg_crossings
2	XOR	c19_r1	1	50	0.50	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.321206	8.0	0.0000	0.4295	0.1573	0.2309	0.0
2	XOR	c19_r1	1	50	0.50	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.320924	8.2	0.0000	0.4138	0.1754	0.2312	0.0
2	XOR	c19_r1	1	50	0.50	50	0.50	0.1	7	1.0000	1.0000	0.5000	0.320576	8.2	0.0000	0.4178	0.1758	0.2318	0.0
2	XOR	c19_r1	1	50	0.50	100	0.50	0.1	42	1.0000	1.0000	0.5000	0.321206	8.0	0.0000	0.4295	0.1573	0.2309	0.0
2	XOR	c19_r1	1	50	0.50	100	0.50	0.1	123	1.0000	1.0000	0.5000	0.320924	8.2	0.0000	0.4138	0.1754	0.2312	0.0
2	XOR	c19_r1	1	50	0.50	100	0.50	0.1	7	1.0000	1.0000	0.5000	0.320576	8.2	0.0000	0.4178	0.1758	0.2318	0.0
2	XOR	c19_r1	1	50	0.50	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.321206	8.0	0.0000	0.4295	0.1573	0.2309	0.0
2	XOR	c19_r1	1	50	0.50	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.320924	8.2	0.0000	0.4138	0.1754	0.2312	0.0
2	XOR	c19_r1	1	50	0.50	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.320576	8.2	0.0000	0.4178	0.1758	0.2318	0.0
2	XOR	c19_r1	1	50	1.00	20	0.50	0.1	42	1.0000	0.5000	0.5000	0.478233	5.8	0.0000	0.4188	0.0773	0.0221	0.0
2	XOR	c19_r1	1	50	1.00	20	0.50	0.1	123	1.0000	0.5000	0.5000	0.478266	5.8	0.0000	0.4047	0.0883	0.0222	0.0
2	XOR	c19_r1	1	50	1.00	20	0.50	0.1	7	1.0000	0.5000	0.5000	0.478827	5.8	0.0000	0.4021	0.0856	0.0214	0.0
2	XOR	c19_r1	1	50	1.00	50	0.50	0.1	42	1.0000	0.5000	0.5000	0.493497	5.2	0.0000	0.4183	0.0757	0.0064	0.0
2	XOR	c19_r1	1	50	1.00	50	0.50	0.1	123	1.0000	0.5000	0.5000	0.493593	5.0	0.0000	0.4028	0.0871	0.0065	0.0
2	XOR	c19_r1	1	50	1.00	50	0.50	0.1	7	1.0000	0.5000	0.5000	0.493883	5.0	0.0000	0.3993	0.0834	0.0059	0.0
2	XOR	c19_r1	1	50	1.00	100	0.50	0.1	42	1.0000	0.5000	0.5000	0.497656	5.0	0.0000	0.4183	0.0755	0.0022	0.0
2	XOR	c19_r1	1	50	1.00	100	0.50	0.1	123	1.0000	0.5000	0.5000	0.497664	4.8	0.0000	0.4025	0.0871	0.0024	0.0
2	XOR	c19_r1	1	50	1.00	100	0.50	0.1	7	1.0000	0.5000	0.5000	0.497742	4.8	0.0000	0.3989	0.0832	0.0020	0.0
2	XOR	c19_r1	1	50	1.00	200	0.50	0.1	42	1.0000	1.0000	0.5000	0.498312	4.8	0.0000	0.4182	0.0762	0.0016	0.0
2	XOR	c19_r1	1	50	1.00	200	0.50	0.1	123	1.0000	1.0000	0.5000	0.498853	4.8	0.0000	0.4023	0.0880	0.0018	0.0
2	XOR	c19_r1	1	50	1.00	200	0.50	0.1	7	1.0000	1.0000	0.5000	0.497702	4.8	0.0000	0.3986	0.0839	0.0021	0.0
2	XOR	c19_r4	4	10	0.10	20	0.50	0.1	42	1.0000	1.0000	0.5000	0.152130	10.5	0.0000	0.4582	0.6967	0.2950	0.0
2	XOR	c19_r4	4	10	0.10	20	0.50	0.1	123	1.0000	1.0000	0.5000	0.210384	9.8	0.0000	0.4511	0.4563	0.3875	0.0
2	XOR	c19_r4	4	10	0.10	20	0.50	0.1	7	1.0000	1.0000	0.5000	0.214113	10.5	0.0000	0.5536	0.4235	0.3867	0.0
2	XOR	c19_r4	4	10	0.10	50	0.50	0.1	42	1.0000	1.0000	0.5000	0.151947	10.5	0.0000	0.4586	0.6974	0.2946	0.0
2	XOR	c19_r4	4	10	0.10	50	0.50	0.1	123	1.0000	1.0000	0.5000	0.210241	9.8	0.0000	0.4515	0.4568	0.3871	0.0
