step,raw_loss,masked_loss,accuracy,masked_acc,lr,elapsed_s,samples_seen,mask_frac,ring_norm,ring_slot_mean,alpha_0_mean,alpha_0_min,alpha_0_max,alpha_1_mean,alpha_1_min,alpha_1_max,input_norm_0,input_norm_1,ring_signal_norm_0,ring_signal_norm_1,blended_norm_0,blended_norm_1,hidden_norm_0,hidden_norm_1,hidden_final_norm_0,hidden_final_norm_1,ptr_pos_0,ptr_pos_1
430,2.510948,2.427935,0.327393,0.332136,0.000705,581.7,55040,0.9857,7707.4312,7.5224,0.4975,0.4250,0.6192,0.4598,0.3892,0.6078,19.2006,19.2006,74.3723,70.8410,22.7818,21.0539,51.0259,52.3752,50.8652,52.2021,63.00,575.00
440,2.537392,2.455678,0.317505,0.322065,0.000689,594.1,56320,0.9858,7698.8193,7.5056,0.5010,0.4287,0.6257,0.4574,0.3695,0.6070,18.9298,18.9298,75.5049,68.7489,22.9455,20.9494,50.6167,52.1484,50.8898,52.3880,63.00,575.00
450,2.499168,2.442254,0.321045,0.324171,0.000673,607.3,57600,0.9904,7695.7319,7.5072,0.4981,0.4248,0.6304,0.4616,0.3897,0.6240,19.1959,19.1959,74.9596,69.3338,22.8194,21.1457,50.7024,52.0929,50.6690,52.0174,63.00,575.00
460,2.482407,2.372930,0.334961,0.340997,0.000656,619.6,58880,0.9823,7666.7817,7.4806,0.5046,0.4310,0.6404,0.4549,0.3896,0.6274,19.5838,19.5838,74.4056,69.8772,23.1260,20.8461,50.6485,52.1313,50.5235,52.0805,63.00,575.00
470,2.534624,2.428080,0.330688,0.336689,0.000639,631.2,60160,0.9822,7668.1431,7.4799,0.5058,0.4277,0.6375,0.4575,0.3676,0.6170,19.3203,19.3203,74.7671,69.5074,23.1873,20.9725,50.6459,52.0360,50.6109,52.0625,63.00,575.00
480,2.524229,2.439494,0.321655,0.326154,0.000623,644.6,61440,0.9862,7659.6855,7.4808,0.5063,0.4263,0.6420,0.4582,0.3666,0.6314,19.3344,19.3344,70.8750,73.4926,23.2158,21.0095,50.4955,51.9602,50.6569,52.1331,63.00,575.00
490,2.454824,2.385742,0.334106,0.337818,0.000606,657.0,62720,0.9890,7661.9263,7.4644,0.5022,0.4281,0.6470,0.4599,0.3889,0.6379,19.3928,19.3928,76.7068,67.6038,23.0322,21.0958,50.5806,51.9777,50.5478,51.9713,63.00,575.00
500,2.511243,2.403427,0.328735,0.334451,0.000589,669.9,64000,0.9829,7709.0806,7.4760,0.4999,0.4297,0.6420,0.4515,0.3842,0.6184,19.7297,19.7297,80.2135,64.2033,22.9319,20.7160,50.4436,51.9295,50.5602,52.0567,63.00,575.00
510,2.474011,2.394451,0.333130,0.337455,0.000571,685.5,65280,0.9872,7707.5244,7.4875,0.5074,0.4287,0.6413,0.4597,0.3691,0.6214,19.4176,19.4176,79.6682,65.8343,23.2832,21.0922,50.7181,52.2314,50.6190,52.0412,63.00,575.00
520,2.454201,2.384162,0.334595,0.338353,0.000554,698.0,66560,0.9889,7702.1763,7.4979,0.5035,0.4286,0.6405,0.4555,0.3678,0.6206,19.5074,19.5074,77.7947,67.1375,23.1093,20.9062,50.4302,51.9828,50.6954,52.1420,63.00,575.00
