step,model,loss,acc,avg_loss_20,avg_acc_20
186,B_scale0.01,0.660904,0.7500,0.689334,0.5344
187,A_scale1.0,0.714175,0.4375,0.676481,0.5437
187,B_scale0.01,0.683453,0.6250,0.688658,0.5406
188,A_scale1.0,0.684124,0.4375,0.676463,0.5406
188,B_scale0.01,0.689270,0.5625,0.688065,0.5469
189,A_scale1.0,0.669759,0.6250,0.678016,0.5375
189,B_scale0.01,0.697793,0.4375,0.688502,0.5500
190,A_scale1.0,0.627892,0.6875,0.678096,0.5406
190,B_scale0.01,0.676811,0.5625,0.687384,0.5594
191,A_scale1.0,0.648337,0.5625,0.670259,0.5500
191,B_scale0.01,0.680160,0.5625,0.686668,0.5625
192,A_scale1.0,0.690673,0.4375,0.673066,0.5469
192,B_scale0.01,0.672254,0.6875,0.685885,0.5594
193,A_scale1.0,0.660513,0.5000,0.671584,0.5531
193,B_scale0.01,0.686362,0.5625,0.686026,0.5500
194,A_scale1.0,0.669592,0.5625,0.674698,0.5469
194,B_scale0.01,0.689241,0.5625,0.686551,0.5469
195,A_scale1.0,0.711988,0.5000,0.677308,0.5344
195,B_scale0.01,0.692568,0.5000,0.686925,0.5469
196,A_scale1.0,0.735405,0.5000,0.679869,0.5281
196,B_scale0.01,0.717136,0.3125,0.687851,0.5437
197,A_scale1.0,0.687018,0.6250,0.679230,0.5344
197,B_scale0.01,0.697591,0.5000,0.688126,0.5437
198,A_scale1.0,0.688987,0.5625,0.682876,0.5312
198,B_scale0.01,0.688450,0.5000,0.689720,0.5312
199,A_scale1.0,0.691985,0.4375,0.683381,0.5250
199,B_scale0.01,0.678882,0.6875,0.688971,0.5406
200,A_scale1.0,0.694484,0.5625,0.683449,0.5219
200,B_scale0.01,0.691297,0.5000,0.688372,0.5437
201,A_scale1.0,0.693342,0.5000,0.683962,0.5156
201,B_scale0.01,0.688289,0.4375,0.685980,0.5500
202,A_scale1.0,0.659617,0.6250,0.682354,0.5250
202,B_scale0.01,0.688944,0.4375,0.686398,0.5437
203,A_scale1.0,0.603054,0.6250,0.678208,0.5344
203,B_scale0.01,0.672427,0.6250,0.685211,0.5531
204,A_scale1.0,0.730878,0.3750,0.683117,0.5219
204,B_scale0.01,0.701954,0.4375,0.687059,0.5437
205,A_scale1.0,0.777112,0.3750,0.686556,0.5156
205,B_scale0.01,0.700750,0.3750,0.687727,0.5312
206,A_scale1.0,0.613641,0.7500,0.682629,0.5344
206,B_scale0.01,0.663581,0.7500,0.687861,0.5312
207,A_scale1.0,0.713068,0.5000,0.682573,0.5375
207,B_scale0.01,0.696957,0.5000,0.688536,0.5250
208,A_scale1.0,0.838097,0.3125,0.690272,0.5312
208,B_scale0.01,0.731223,0.3125,0.690634,0.5125
209,A_scale1.0,0.729919,0.5000,0.693280,0.5250
209,B_scale0.01,0.711045,0.5000,0.691296,0.5156
210,A_scale1.0,0.643203,0.6250,0.694046,0.5219
210,B_scale0.01,0.660969,0.6250,0.690504,0.5188
211,A_scale1.0,0.641904,0.5625,0.693724,0.5219
211,B_scale0.01,0.658018,0.6250,0.689397,0.5219
212,A_scale1.0,0.659316,0.6250,0.692156,0.5312
212,B_scale0.01,0.670760,0.6250,0.689322,0.5188
213,A_scale1.0,0.666034,0.5625,0.692432,0.5344
213,B_scale0.01,0.712286,0.4375,0.690618,0.5125
214,A_scale1.0,0.684855,0.6250,0.693195,0.5375
214,B_scale0.01,0.677619,0.5625,0.690037,0.5125
215,A_scale1.0,0.678025,0.4375,0.691497,0.5344
215,B_scale0.01,0.686896,0.5000,0.689754,0.5125
216,A_scale1.0,0.638998,0.6250,0.686677,0.5406
216,B_scale0.01,0.723773,0.3125,0.690086,0.5125
217,A_scale1.0,0.633767,0.6875,0.684014,0.5437
217,B_scale0.01,0.636368,0.6875,0.687024,0.5219
218,A_scale1.0,0.708297,0.3750,0.684980,0.5344
218,B_scale0.01,0.699229,0.4375,0.687563,0.5188
219,A_scale1.0,0.670869,0.6250,0.683924,0.5437
219,B_scale0.01,0.704259,0.5000,0.688832,0.5094
220,A_scale1.0,0.684852,0.6875,0.683442,0.5500
220,B_scale0.01,0.679409,0.5625,0.688238,0.5125
221,A_scale1.0,0.722620,0.3125,0.684906,0.5406
221,B_scale0.01,0.699818,0.4375,0.688814,0.5125
222,A_scale1.0,0.730983,0.3750,0.688475,0.5281
222,B_scale0.01,0.703039,0.4375,0.689519,0.5125
223,A_scale1.0,0.600478,0.7500,0.688346,0.5344
223,B_scale0.01,0.664907,0.6875,0.689143,0.5156
224,A_scale1.0,0.588037,0.8125,0.681204,0.5563
224,B_scale0.01,0.661738,0.6875,0.687132,0.5281
225,A_scale1.0,0.641127,0.6250,0.674404,0.5687
225,B_scale0.01,0.681801,0.6250,0.686185,0.5406
226,A_scale1.0,0.693294,0.5625,0.678387,0.5594
226,B_scale0.01,0.687123,0.6250,0.687362,0.5344
227,A_scale1.0,0.687803,0.5000,0.677124,0.5594
227,B_scale0.01,0.695063,0.4375,0.687267,0.5312
228,A_scale1.0,0.696508,0.5000,0.670045,0.5687
228,B_scale0.01,0.689788,0.5625,0.685195,0.5437
229,A_scale1.0,0.696543,0.4375,0.668376,0.5656
229,B_scale0.01,0.698718,0.4375,0.684579,0.5406
230,A_scale1.0,0.718783,0.4375,0.672155,0.5563
230,B_scale0.01,0.703388,0.4375,0.686700,0.5312
231,A_scale1.0,0.656324,0.6250,0.672876,0.5594
231,B_scale0.01,0.686821,0.5625,0.688140,0.5281
232,A_scale1.0,0.693573,0.3125,0.674589,0.5437
